,transition_date,transition_hour,transport_type_id,road_type,line,transfer_type,number_of_passage,number_of_passenger,product_kind,transaction_type_desc,town,line_name,station_poi_desc_cd
0,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAYRAMPASA,34,EDIRNEKAPI 2
1,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,1,UCRETSIZ,Ucretsiz,KUCUKCEKMECE,34,SEFAKOY
2,2021-05-01,0,1,OTOYOL,SULTANBEYLI-UMRANIYE,Normal,3,3,TAM,Tam Kontur,BAKIRKOY,131,
3,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,2,2,UCRETSIZ,Ucretsiz,ZEYTINBURNU,34,CEVIZLIBAG
4,2021-05-01,0,1,OTOYOL,AVCILAR-ZINCIRLIKUYU,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BEYOGLU,34,HALICIOGLU
5,2021-05-01,0,1,OTOYOL,ISTINYE DEREICI - FERAHEVLER - KABATAS,Normal,1,1,PERSONEL,Tam Kontur,BAKIRKOY,29D,
6,2021-05-01,0,1,OTOYOL,KADIKOY-ESENSEHIR,Normal,3,3,TAM,Tam Kontur,BAKIRKOY,14ES,
7,2021-05-01,0,1,OTOYOL,YUNUS EMRE MAHALLESI-VEZNECILER,Normal,1,1,TAM,Tam Kontur,BAKIRKOY,38B,
8,2021-05-01,0,3,DENİZ,ADALAR-BOSTANCI,Normal,1,1,INDIRIMLI1,Indirimli Abonman,ADALAR,ADALAR-BST,HEYBELIADA
9,2021-05-01,0,1,OTOYOL,GUNESLI - BEYAZIT,Normal,5,5,TAM,Tam Kontur,BAKIRKOY,97,
10,2021-05-01,0,1,OTOYOL,BAHCESEHIRI / ESENKENT - TAKSIM,Normal,1,1,TAM,Tam Abonman,BAKIRKOY,76D,
11,2021-05-01,0,1,OTOYOL,KADIKOY-SARIGAZI-YENIDOGAN,Aktarma,1,1,TAM,Tam Aktarma,BAKIRKOY,19S,
12,2021-05-01,0,1,OTOYOL,KADIKOY-YENIDOGAN,Normal,1,1,INDIRIMLI1,Indirimli Kontur,BAKIRKOY,19E,
13,2021-05-01,0,1,OTOYOL,KADIKOY-YENIDOGAN,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,14,
14,2021-05-01,0,1,OTOYOL,KADIKOY-FINDIKLI MAHALLESI-YEDITEPE UNIVERSITESI,Normal,1,1,UCRETSIZ,Ucretsiz,BAKIRKOY,19F,
15,2021-05-01,0,1,OTOYOL,CIRCIR METRO/YILDIZTABYA - VEZNECILER,Normal,1,1,INDIRIMLI1,Indirimli Abonman,BAKIRKOY,37Y,
16,2021-05-01,0,1,OTOYOL,HADIMKOY- I.U AVCILAR KAMPUS,Normal,1,1,TAM,Tam Kontur,BAKIRKOY,418,
